BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions
NonResidential,Medical Office,McMurray Medical Building,1536 N. 115th Street,98133.0,3026049142,5,NORTHWEST,47.7126,-122.33782,2005,1.0,3,63909,0,63909,"Medical Office, Retail Store",Medical Office,60670.0,Retail Store,3239.0,None,0.0,51.0,234.1999969,4765753.5,0.0,4765753.0,0.0,False,Compliant,33.22
NonResidential,Warehouse,Iron Mountain,1201 N. 96th St.,98103.0,3126049011,5,NORTHWEST,47.69814,-122.34295,1948,1.0,2,53472,0,53472,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,46846.0,Office,10033.0,None,0.0,60.0,31.89999962,971156.0,0.0,381025.0,590131.0,False,Compliant,34.0
NonResidential,Warehouse,Lenci Corporation,428 S. Cloverdale,98108.0,3224049045,1,GREATER DUWAMISH,47.52696,-122.32913,1980,1.0,1,50417,0,50417,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,50417.0,None,0.0,None,0.0,14.0,73.90000153,1847401.0,0.0,855017.0,992384.0,False,Compliant,58.67
NonResidential,Restaurant,Pier 57,1301 Alaskan Way,98101.0,7666202435,7,DOWNTOWN,47.60613,-122.34115,1900,1.0,1,43728,0,43728,Restaurant,Restaurant,43728.0,None,0.0,None,0.0,76.0,276.2999878,11508035.0,0.0,0.0,11508035.0,False,Compliant,611.19
NonResidential,Medical Office,NWH Outpatient Medical Center,10330 Meridian Ave N,98133.0,3226049177,5,NORTHWEST,47.70449,-122.33272,1961,1.0,3,133298,0,133298,Medical Office,Medical Office,133298.0,None,0.0,None,0.0,21.0,305.1000061,15640994.0,0.0,11600182.0,4040810.0,False,Compliant,295.48
NonResidential,Retail Store,"SEATTLE, WA-0106",401 NE NORTHGATE WAY STE 475,98125.0,3226049481,5,NORTH,47.70759,-122.3255,1965,1.0,2,168619,0,168619,Retail Store,Retail Store,173106.0,None,0.0,None,0.0,78.0,105.0,6455828.5,0.0,5456882.0,998946.0,False,Compliant,91.1
NonResidential,Mixed Use Property,1616 Eastlake,1616 Eastlake Ave. E,98102.0,3383900230,4,LAKE UNION,47.63451,-122.32505,2002,0.0,5,251827,113318,138509,"Laboratory, Office, Parking",Parking,113318.0,Laboratory,84000.0,Office,84000.0,91.0,657.0999756,47102428.0,0.0,29154854.0,17947572.0,False,Compliant,1156.45
NonResidential,Large Office,1260 Mercer,1260 Mercer St,98109.0,3481800010,7,LAKE UNION,47.6244,-122.33157,2000,1.0,4,175885,71385,104500,"Office, Parking",Office,103970.0,Parking,71390.0,None,0.0,91.0,195.8999939,6486377.5,0.0,6486377.0,0.0,False,Compliant,45.22
NonResidential,Warehouse,4727 Building,4727 DENVER AVE S,98134.0,3573200005,2,GREATER DUWAMISH,47.56089,-122.33474,1969,1.0,2,104786,0,104786,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,104786.0,None,0.0,None,0.0,93.0,23.60000038,1028377.0,0.0,666718.0,361659.0,False,Compliant,23.86
NonResidential,Other,SEATTLE 1ST AVE GAR,4755 1ST AVE S,98134.0,3573200658,2,GREATER DUWAMISH,47.55787,-122.335,2000,1.0,1,53040,41600,11440,Other,Other,51427.0,None,0.0,None,0.0,89.0,75.0,1770027.5,0.0,955967.0,814060.0,False,Compliant,49.9
NonResidential,Other,McKinstry SEA - 220 S Hudson Shop,220 S Hudson St,98134.0,3573700130,2,GREATER DUWAMISH,47.55741,-122.33163,1973,0.0,1,110689,0,110689,Other,Other,110689.0,None,0.0,None,0.0,89.0,28.89999962,2339814.25,0.0,356328.0,1983486.0,False,Compliant,107.83
NonResidential,Small- and Mid-Sized Office,McKinstry SEA - 220 S Dawson Office,220 S Dawson St,98134.0,3573700330,2,GREATER DUWAMISH,47.5563,-122.33186,1948,1.0,1,53620,0,53620,Office,Office,53620.0,None,0.0,None,0.0,86.0,114.0,2058955.25,0.0,1890584.0,168371.0,False,Compliant,22.12
NonResidential,Small- and Mid-Sized Office,5050,5050 1st Ave S,98134.0,3573700410,2,GREATER DUWAMISH,47.55623,-122.33316,1938,1.0,1,50008,0,50008,Office,Office,50008.0,None,0.0,None,0.0,62.0,162.1000061,3202213.0,0.0,2270837.0,931375.0,False,Compliant,65.3
NonResidential,Large Office,635 Elliott - South Bldg.,635 Elliott Avenue West,98119.0,3879902270,7,MAGNOLIA / QUEEN ANNE,47.6252,-122.36737,2009,1.0,4,291176,100176,191000,"Office, Parking",Office,194674.0,Parking,111198.0,None,0.0,98.0,106.5999985,6657348.5,0.0,6585119.0,72228.0,False,Compliant,49.74
NonResidential,Warehouse,4225 2nd Ave So.,4225 2nd Ave. South,98134.0,3957900060,2,GREATER DUWAMISH,47.56549,-122.33221,1957,1.0,1,50832,0,50832,"Non-Refrigerated Warehouse, Office",Non-Refrigerated Warehouse,43920.0,Office,6912.0,None,0.0,63.0,77.90000153,2551023.0,0.0,613991.0,1937032.0,False,Compliant,107.16
NonResidential,Refrigerated Warehouse,Uwajimaya (Seattle 5),4601 6th Ave S,98108.0,3958900565,2,GREATER DUWAMISH,47.56158,-122.32754,1971,1.0,1,76354,0,76354,Refrigerated Warehouse,Refrigerated Warehouse,76486.0,None,0.0,None,0.0,70.0,116.4000015,2843033.5,0.0,2832924.0,10109.0,False,Compliant,20.29
NonResidential,Warehouse,Merlino Foods Building,4100 4th Avenue South,98134.0,3958900851,2,GREATER DUWAMISH,47.56558,-122.32889,1956,1.0,1,98480,0,98480,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,98480.0,None,0.0,None,0.0,65.0,81.19999695,2831565.5,0.0,2403347.0,428218.0,False,Compliant,39.5
NonResidential,Mixed Use Property,Wallingford Center,1815 N 45th St.,98103.0,4083300140,4,LAKE UNION,47.66113,-122.33572,1904,1.0,2,53002,0,53002,"Multifamily Housing, Parking, Restaurant, Retail Store",Retail Store,31602.0,Parking,27427.0,Multifamily Housing,18130.0,75.0,168.3000031,3441643.25,0.0,2574531.0,867112.0,False,Compliant,64.0
NonResidential,Mixed Use Property,199 Blaine,199 E Blaine St.,98102.0,4088802666,4,LAKE UNION,47.63465,-122.32592,2008,1.0,3,175918,51218,124700,"Laboratory, Office, Parking",Office,66737.0,Parking,58218.0,Laboratory,30230.0,52.0,503.6000061,22530168.0,0.0,12047762.0,10482405.0,False,Compliant,640.71
NonResidential,Other,1241 Eastlake - Zymogenetics,1241 Eastlake Ave E,98102.0,4088802925,3,LAKE UNION,47.63108,-122.32746,1920,1.0,3,169785,63782,106003,"Other, Parking",Other,106003.0,Parking,63782.0,None,0.0,89.0,451.0,19155416.0,0.0,13249663.0,5905752.0,False,Compliant,406.02
NonResidential,Large Office,AGC Building,1200 Westlake Ave N,98109.0,4088803725,7,LAKE UNION,47.63,-122.3396,1971,1.0,11,124721,0,124721,"Food Service, Office, Parking, Restaurant",Office,107594.0,Restaurant,15600.0,Parking,12000.0,58.0,252.1999969,13898181.0,0.0,8069980.0,5828201.0,False,Compliant,365.79
NonResidential,Small- and Mid-Sized Office,Lake Union Building,1700 Westlake Ave N,98109.0,4088803750,7,LAKE UNION,47.63376,-122.33968,1970,1.0,7,94002,0,94002,"Office, Parking",Office,93905.0,Parking,31348.0,None,0.0,70.0,189.3000031,5662234.0,0.0,5662234.0,0.0,False,Compliant,39.47
NonResidential,Warehouse,NWCP-SEA Bldg U,520 S Brandon St,98108.0,5084400005,2,GREATER DUWAMISH,47.55515,-122.3275,1974,1.0,1,93020,0,93020,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,93020.0,None,0.0,None,0.0,60.0,42.29999924,1252324.0,0.0,1252324.0,0.0,False,Compliant,8.73
NonResidential,Other,ARTECH,2609 1st Avenue,98121.0,0653000350,7,DOWNTOWN,47.6153,-122.35014,1946,1.0,1,23000,0,23000,"Office, Other",Other,20310.0,Office,2689.600098,None,0.0,89.0,56.09999847,711119.0,0.0,260639.0,450480.0,False,Compliant,25.74
NonResidential,Supermarket / Grocery Store,Safeway 1965 - Rainier Ave,9262 Rainier Ave,98118.0,5087400030,2,SOUTHEAST,47.52095,-122.26825,2002,1.0,1,61053,0,61053,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,54434.0,Parking,0.0,None,0.0,32.0,578.7000122,13133225.0,0.0,8474644.0,4658580.0,False,Compliant,306.5
NonResidential,Large Office,411 1ST AVE  S (ID608),411 1ST AVE S,98104.0,5247800200,2,DOWNTOWN,47.59878,-122.33458,1913,5.0,7,154159,0,154159,Office,Office,193154.0,None,0.0,None,0.0,100.0,28.0,11195917.0,0.0,1608768.0,343050.0,False,Non-Compliant,29.43
NonResidential,Small- and Mid-Sized Office,111 S. Jackson,111 South Jackson Street,98104.0,5247800255,2,DOWNTOWN,47.59895,-122.33379,1904,1.0,5,78920,0,78920,Office,Office,78564.0,None,0.0,None,0.0,88.0,113.0999985,2830674.75,0.0,2830674.0,0.0,False,Compliant,19.73
NonResidential,Small- and Mid-Sized Office,FX McRory Building,419 Occidental Ave. S.,98104.0,5247800280,2,DOWNTOWN,47.59855,-122.33327,1906,1.0,7,99440,0,99440,"Office, Retail Store",Office,65088.0,Retail Store,23857.0,None,0.0,64.0,188.1000061,6606832.5,0.0,4685851.0,1920981.0,False,Compliant,134.69
NonResidential,Small- and Mid-Sized Office,Westland Building,100 South King Street,98104.0,5247800300,2,DOWNTOWN,47.59856,-122.33379,1907,1.0,6,73260,0,73260,Office,Office,63871.0,None,0.0,None,0.0,82.0,140.3000031,2853189.5,0.0,2853189.0,0.0,False,Compliant,19.89
NonResidential,Small- and Mid-Sized Office,The Globe Building,105 South Main St.,98104.0,5247800320,7,DOWNTOWN,47.59979,-122.3338,1900,1.0,4,69817,0,69817,"Office, Retail Store",Office,34647.0,Retail Store,26039.0,None,0.0,87.0,82.5,2178074.5,771085.1875,1245123.0,161866.0,False,Compliant,76.8
NonResidential,Small- and Mid-Sized Office,The Grand Central Building,216 1st Ave. S.,98104.0,5247800390,7,DOWNTOWN,47.60035,-122.33379,1900,1.0,4,84750,0,84750,"Enclosed Mall, Office",Office,41609.0,Enclosed Mall,28734.0,None,0.0,73.0,86.09999847,2094725.0,0.0,1846842.0,247883.0,False,Compliant,26.04
NonResidential,Small- and Mid-Sized Office,Interurban Building,157 Yesler Way,98104.0,5247800555,7,DOWNTOWN,47.60146,-122.33248,1900,1.0,6,75496,13320,62176,"Office, Restaurant, Retail Store",Office,45799.0,Retail Store,9739.0,Restaurant,4689.0,73.0,186.1000061,3570162.0,0.0,3570162.0,0.0,False,Compliant,24.89
NonResidential,Large Office,Occidental Mall,308 Occidental Avenue S,98104.0,5247800695,7,DOWNTOWN,47.59962,-122.33247,1900,1.0,4,164380,0,164380,"Office, Retail Store",Office,123607.0,Retail Store,20795.0,None,0.0,79.0,145.8000031,7655751.0,399538.3125,6196714.0,1059498.0,False,Compliant,130.31
NonResidential,Large Office,(ID616) Court in the Square,401 Second Ave S,98104.0,5247800755,2,DOWNTOWN,47.59858,-122.33198,1907,1.0,7,160580,0,160580,Office,Office,160580.0,None,0.0,None,0.0,98.0,67.90000153,4336187.5,347207.9063,3014081.0,974898.0,False,Compliant,99.59
NonResidential,Small- and Mid-Sized Office,Prefontaine,110 Prefontaine Pl S,98104.0,5247801045,7,DOWNTOWN,47.60159,-122.32915,1909,1.0,6,73470,0,73470,"Non-Refrigerated Warehouse, Office, Retail Store",Office,47145.0,Non-Refrigerated Warehouse,9477.0,Retail Store,9477.0,83.0,152.6000061,3212269.0,0.0,3212269.0,0.0,True,Error - Correct Default Data,22.39
Nonresidential COS,Other,King Street Station,303 S Jackson Street,98104.0,5247801160,2,DOWNTOWN,47.59871,-122.3299,1906,1.0,3,67755,0,67755,"Data Center, Office, Other, Other - Entertainment/Public Assembly",Other,33647.0,Office,19705.0,Other - Entertainment/Public Assembly,11988.0,89.0,91.30000305,1904480.0,0.0,1904480.0,0.0,False,Compliant,13.28
NonResidential,Mixed Use Property,Pacific Office Automation,1064 4th Ave S,98134.0,7666204795,2,GREATER DUWAMISH,47.59334,-122.32905,1910,1.0,3,56700,0,56700,"Distribution Center, Non-Refrigerated Warehouse, Office",Office,26250.0,Distribution Center,18050.0,Non-Refrigerated Warehouse,12400.0,37.0,119.3000031,2371575.0,0.0,2045416.0,326159.0,False,Compliant,31.58
NonResidential,Warehouse,1021-1045 6th Ave. S.,1045 6th Avenue South,98134.0,7666204800,2,GREATER DUWAMISH,47.59366,-122.32666,1922,1.0,1,82852,0,82852,"Non-Refrigerated Warehouse, Retail Store",Non-Refrigerated Warehouse,58472.0,Retail Store,23282.0,None,0.0,83.0,54.70000076,2153604.0,0.0,1058065.0,1095539.0,False,Compliant,65.56
NonResidential,Other,Pacific Galleries,241 S Lander St,98134.0,7666205335,2,GREATER DUWAMISH,47.57941,-122.33131,1953,1.0,2,76442,0,76442,"Distribution Center, Office, Other",Other,50500.0,Distribution Center,18000.0,Office,7604.0,89.0,101.6999969,3978277.0,0.0,1705403.0,2272874.0,False,Compliant,132.6
NonResidential,Distribution Center,Hullin Transfer Building,270 S HANFORD ST,98134.0,7666205408,2,GREATER DUWAMISH,47.57658,-122.33054,1962,1.0,2,92792,0,92792,"Distribution Center, Office",Distribution Center,85343.0,Office,13435.0,None,0.0,56.0,76.40000153,3155496.0,0.0,2024573.0,1130923.0,False,Compliant,74.18
NonResidential,Other,South Occidental Warehouse,1900 Occidental Ave S,98134.0,7666206115,2,GREATER DUWAMISH,47.58444,-122.33282,1941,2.0,2,125519,0,125519,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,142901.0,None,0.0,None,0.0,89.0,49.29999924,2244317.0,0.0,2244317.0,0.0,False,Compliant,15.65
NonResidential,Large Office,"2200 Equities, LLC",2200 1st Avenue South,98134.0,7666206220,2,GREATER DUWAMISH,47.58361,-122.33369,1900,1.0,4,129000,25800,103200,Office,Office,104869.0,None,0.0,None,0.0,80.0,131.0,4374646.0,0.0,4374645.0,0.0,False,Compliant,30.5
NonResidential,Warehouse,Warehouse 1,1750 Occidental Ave S,98134.0,7666206285,2,GREATER DUWAMISH,47.58781,-122.33264,1954,1.0,1,78814,0,78814,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,78814.0,None,0.0,None,0.0,69.0,28.29999924,861973.0,0.0,635127.0,226846.0,False,Compliant,16.48
NonResidential,Small- and Mid-Sized Office,Roebling Building,901 Occidental Ave S,98134.0,7666206640,2,GREATER DUWAMISH,47.59486,-122.33368,1904,1.0,4,58970,0,58970,"Multifamily Housing, Non-Refrigerated Warehouse, Office, Parking",Office,39870.0,Non-Refrigerated Warehouse,11600.0,Multifamily Housing,7000.0,73.0,73.09999847,1776412.0,0.0,1152375.0,624037.0,False,Compliant,41.18
NonResidential,Distribution Center,Palmer Court Building,1000 1st Ave S,98134.0,7666206676,2,GREATER DUWAMISH,47.59403,-122.33367,1910,1.0,6,75600,10800,64800,"Distribution Center, Office, Parking",Distribution Center,51040.0,Office,10500.0,Parking,6000.0,15.0,137.1999969,2688675.75,0.0,2688675.0,0.0,False,Compliant,18.74
NonResidential,Distribution Center,1016 1st Ave S LP,1014 1st Ave S,98134.0,7666206690,2,GREATER DUWAMISH,47.59363,-122.33371,1907,1.0,4,56270,0,56270,"Distribution Center, Non-Refrigerated Warehouse, Office, Retail Store",Distribution Center,39884.0,Non-Refrigerated Warehouse,9270.0,Office,4116.0,56.0,59.0,1056782.125,0.0,1056782.0,0.0,False,Compliant,7.37
NonResidential,Small- and Mid-Sized Office,The Reedo Building,542 1st Avenue South,98104.0,7666206851,2,DOWNTOWN,47.59701,-122.33378,1904,1.0,4,66842,0,66842,"Office, Retail Store",Office,43122.0,Retail Store,10514.0,None,0.0,31.0,244.5,5608600.5,0.0,3457540.0,2151060.0,False,Compliant,138.35
NonResidential,Small- and Mid-Sized Office,Provident Building,568 1st Avenue South,98104.0,7666206871,2,DOWNTOWN,47.59639,-122.33368,1909,1.0,6,75288,10800,64488,"Office, Parking",Office,65508.0,Parking,10918.0,None,0.0,81.0,138.6000061,2891605.0,0.0,2891229.0,376.0,False,Compliant,20.18
NonResidential,Large Office,83 S KING ST BLDG (ID633),83 S KING ST,98104.0,7666206895,2,DOWNTOWN,47.59806,-122.33475,1904,1.0,7,184322,0,184322,"Data Center, Office",Office,183916.0,Data Center,406.0,None,0.0,81.0,165.6000061,9722890.0,0.0,9722889.0,0.0,False,Compliant,67.78
NonResidential,Large Office,505 FIRST AVE S BLDG (ID634),505 1ST AVE S,98104.0,7666206900,2,DOWNTOWN,47.59767,-122.33467,2009,1.0,7,287853,0,287853,"Office, Retail Store",Office,273812.0,Retail Store,12102.0,None,0.0,43.0,280.2000122,25567108.0,0.0,25482582.0,84524.0,False,Compliant,182.14
NonResidential,Small- and Mid-Sized Office,1201 Building,"1201 1st Ave. S.,",98134.0,7666206966,2,GREATER DUWAMISH,47.59202,-122.33486,1914,1.0,2,64512,0,64512,Office,Office,63000.0,None,0.0,None,0.0,53.0,197.3999939,5968154.0,0.0,2952139.0,3016015.0,False,Compliant,180.76
NonResidential,Mixed Use Property,Stadium Innovation Center,1531 Utah Ave S,98134.0,7666207045,2,GREATER DUWAMISH,47.58924,-122.33566,2009,1.0,6,286000,111774,174226,"Distribution Center, Office, Other, Other - Recreation, Parking",Parking,111774.0,Office,108747.0,Other,49271.0,91.0,1150.300049,63835192.0,0.0,63822136.0,13053.0,False,Compliant,445.62
NonResidential,Warehouse,West Coast Building,2203 1st Ave. S.,98134.0,7666207175,2,GREATER DUWAMISH,47.58365,-122.33467,1926,1.0,7,144050,0,144050,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,144050.0,None,0.0,None,0.0,26.0,63.29999924,3929371.0,0.0,2389825.0,1539546.0,False,Compliant,98.43
NonResidential,Small- and Mid-Sized Office,Green Room,2245 1st Ave. South,98104.0,7666207195,2,GREATER DUWAMISH,47.58252,-122.33465,1930,1.0,3,60592,0,60592,Office,Office,60384.0,None,0.0,None,0.0,16.0,253.5,5049446.5,0.0,4788414.0,261032.0,False,Compliant,47.25
NonResidential,Large Office,Starbucks Center,2401 Utah Ave South,98134.0,7666207220,2,GREATER DUWAMISH,47.58181,-122.33534,1912,0.0,6,1380959,0,1380959,"Non-Refrigerated Warehouse, Office, Retail Store",Office,1000730.0,Retail Store,281296.0,Non-Refrigerated Warehouse,220303.0,79.0,146.1000061,74130576.0,0.0,67760546.0,6370020.0,False,Compliant,810.7
NonResidential,Retail Store,The Home Depot,2701 Utah Avenue South,98134.0,7666207295,2,GREATER DUWAMISH,47.57842,-122.33558,1993,1.0,1,107930,0,107930,Retail Store,Retail Store,107704.0,None,0.0,None,0.0,57.0,189.5,7221482.5,0.0,6136093.0,1085388.0,False,Compliant,100.42
NonResidential,Warehouse,99/55 South Spokane St. Whse,99/55 South Spokane St.,98134.0,7666207506,2,GREATER DUWAMISH,47.57096,-122.3355,1926,1.0,1,99084,0,99084,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,99084.0,None,0.0,None,0.0,83.0,33.90000153,1618110.375,0.0,795088.0,823022.0,False,Compliant,49.25
NonResidential,Distribution Center,Ferguson Building,4100 W Marginal Way SW,98106.0,7666703530,1,Delridge,47.56676,-122.35247,1953,1.0,1,72719,0,72719,Distribution Center,Distribution Center,72719.0,None,0.0,None,0.0,28.0,96.09999847,2581742.0,0.0,2045435.0,536307.0,False,Compliant,42.74
NonResidential,Small- and Mid-Sized Office,INScape,815 Seattle Blvd S.,98134.0,7669800045,3,EAST,47.59534849,-122.327269,1930,0.0,4,76624,0,76624,Office,Office,76624.0,None,0.0,None,0.0,91.0,105.3000031,2773647.5,0.0,2468547.0,305100.0,False,Compliant,33.41
NonResidential,Small- and Mid-Sized Office,45th Street Plaza,1100 NE 45th ST,98105.0,7733600055,4,NORTHEAST,47.66158,-122.31625,2001,1.0,6,91706,36583,55123,"Office, Other, Parking",Office,53281.0,Parking,34701.0,Other,3724.0,2.0,472.1000061,8570571.0,0.0,8570570.0,0.0,False,Compliant,59.75
NonResidential,Medical Office,BMR-530 Fairview Avenue LLC,530 Fairview Avenue North,98109.0,7863500020,7,LAKE UNION,47.62395,-122.33392,2008,1.0,5,129093,39902,89191,"Medical Office, Other, Parking",Medical Office,89131.0,Parking,37652.0,Other,5615.0,6.0,473.6000061,19248732.0,0.0,11800324.0,7448407.0,False,Compliant,477.85
NonResidential,Large Office,West Seattle Corporate Center,4025 Delridge Way SW,98106.0,7881500200,1,DELRIDGE,47.56787,-122.36419,1991,1.0,5,138106,16221,121885,"Office, Parking",Office,119083.0,Parking,16221.0,None,0.0,41.0,221.0,8381834.5,0.0,8381833.0,0.0,False,Compliant,58.43
NonResidential,Retail Store,AIRPORT WAY SOUTH,4101 - 4111 AIRPORT WAY S,98108.0,7886100495,2,GREATER DUWAMISH,47.56664,-122.32346,1973,1.0,1,56572,0,56572,Retail Store,Retail Store,56576.0,None,0.0,None,0.0,66.0,93.30000305,2409429.0,0.0,1315085.0,1094344.0,False,Compliant,67.29
NonResidential,Medical Office,Arnold Pavilion,1221 Madison Street,98104.0,8725990000,3,EAST,47.60979,-122.32298,2004,1.0,0,225982,0,225982,Medical Office,Medical Office,200184.0,None,0.0,None,0.0,53.0,246.8999939,20560622.0,7815663.0,12744957.0,0.0,False,Compliant,692.12
NonResidential,Mixed Use Property,2200 Westlake - SEDO,2200 Westlake Ave.,98121.0,8729740000,7,DOWNTOWN,47.61783,-122.33729,2006,0.0,0,516407,0,516407,"Financial Office, Hotel, Multifamily Housing, Other, Parking, Restaurant, Supermarket/Grocery Store",Parking,385196.0,Multifamily Housing,340236.0,Hotel,67627.0,31.0,199.1999969,39403320.0,0.0,29432803.0,9970512.0,False,Compliant,734.72
NonResidential,Large Office,505 Union Station - SEDO,505 5th Ave. South,98104.0,8809700020,2,DOWNTOWN,47.59794,-122.32767,2000,1.0,11,312512,0,312512,"Data Center, Office, Restaurant",Office,303312.0,Data Center,4738.0,Restaurant,4462.0,86.0,257.7999878,25747022.0,0.0,25619164.0,127855.0,False,Compliant,185.39
NonResidential,Large Office,Russell Investments Center,1301 2nd Ave,98101.0,9184500000,7,DOWNTOWN,47.6074,-122.33777,2005,1.0,42,1592914,0,1592914,"Data Center, Financial Office, Office, Parking, Restaurant",Office,914832.0,Parking,348788.0,Financial Office,303910.0,97.0,140.0,56498868.0,986403.1875,55123924.0,388532.0,False,Compliant,481.06
NonResidential,Small- and Mid-Sized Office,1505 5th Ave,1505 5th Ave.,98101.0,1975700220,7,DOWNTOWN,47.61077,-122.3361,1926,1.0,6,97720,0,97720,"Data Center, Office, Retail Store",Office,51881.0,Data Center,11999.0,Retail Store,9713.0,73.0,105.6999969,2478025.25,0.0,2478025.0,0.0,False,Compliant,17.28
NonResidential,Medical Office,Elmer J. Nordstrom Medical Tower,1229 madison Street,98104.0,6108450000,3,EAST,47.61002,-122.32222,1985,1.0,10,422503,206580,215923,Medical Office,Medical Office,197408.0,None,0.0,None,0.0,46.0,264.7000122,17254810.0,994154.3125,16260654.0,0.0,False,Compliant,190.1
NonResidential,Medical Office,Jefferson Tower,1600 E Jefferson St,98122.0,7942600570,3,CENTRAL,47.60649,-122.31121,1987,1.0,7,94500,0,94500,Medical Office,Medical Office,113739.0,None,0.0,None,0.0,68.0,159.8999939,5792926.0,0.0,5792925.0,0.0,False,Compliant,40.38
NonResidential,Retail Store,#8944 West Seattle,7345 Delridge Way SW,98106.0,7985400295,1,DELRIDGE,47.53655,-122.36377,2005,0.0,1,94713,0,94713,Retail Store,Retail Store,109758.0,None,0.0,None,0.0,79.0,131.5,5417598.0,0.0,4182901.0,1234697.0,False,Compliant,94.74
NonResidential,Medical Office,7th and Madison,904   7th Ave.,98122.0,8590400395,7,EAST,47.60707,-122.3288,2008,1.0,9,302902,101342,201560,"Medical Office, Parking",Medical Office,201365.0,Parking,86270.0,None,0.0,58.0,223.8000031,14751117.0,0.0,14155468.0,595647.0,False,Compliant,130.32
NonResidential,Medical Office,Cabrini Medical Tower,901 Boren Avenue,98104.0,8590901010,3,EAST,47.60883,-122.32494,1973,1.0,19,319911,156407,163504,"Medical Office, Parking",Medical Office,170727.0,Parking,69171.0,None,0.0,50.0,236.3000031,15067340.0,3593940.25,11473398.0,0.0,False,Compliant,357.39
NonResidential,Large Office,Colman Building,"811 First Avenue, Suite 350",98104.0,8591400005,7,DOWNTOWN,47.60353,-122.33558,1900,1.0,6,205521,0,205521,"Office, Retail Store",Office,114919.0,Retail Store,28643.0,None,0.0,94.0,124.6999969,8138616.5,2068666.75,4325997.0,1743952.0,False,Compliant,282.46
NonResidential,Small- and Mid-Sized Office,Mutual Life Building,605 First Avenue,98104.0,8591400075,7,DOWNTOWN,47.60197,-122.33437,1900,1.0,6,56700,0,56700,"Office, Retail Store",Office,46000.0,Retail Store,10500.0,None,0.0,55.0,170.3999939,3065954.5,0.0,3065954.0,0.0,False,Compliant,21.37
NonResidential,Small- and Mid-Sized Office,RDA Building,800 Maynard Ave S,98134.0,8592900345,2,GREATER DUWAMISH,47.59554,-122.32471,1925,1.0,4,72000,0,72000,Office,Office,72000.0,None,0.0,None,0.0,89.0,116.1999969,2729167.75,0.0,2632591.0,96576.0,False,Compliant,23.48
NonResidential,Large Office,1633 Westlake Building,1633 Westlake Avenue North,98109.0,8807900360,7,MAGNOLIA / QUEEN ANNE,47.63347,-122.34078,2000,1.0,4,191146,94892,96254,"Office, Parking",Office,103000.0,Parking,80000.0,None,0.0,93.0,155.5,5101504.5,0.0,5101504.0,0.0,False,Compliant,35.56
NonResidential,Other,West Seattle Fitness,2629 SW Andover Street,98121.0,9358000300,1,DELRIDGE,47.56797,-122.36711,2001,1.0,3,68763,11527,57236,"Other - Recreation, Parking, Swimming Pool",Other - Recreation,50000.0,Parking,11527.0,Swimming Pool,0.0,89.0,343.1000061,9029489.0,0.0,3670762.0,5358726.0,False,Compliant,310.19
NonResidential,Other,Rainier Square Plaza,3820 Rainier Ave S,98118.0,9834201515,2,SOUTHEAST,47.56961,-122.28881,1994,3.0,1,102133,0,102133,"Parking, Strip Mall",Strip Mall,107427.0,Parking,0.0,None,0.0,89.0,443.0,20725996.0,0.0,12356956.0,8369038.0,False,Compliant,530.62
NonResidential,Large Office,818 Stewart,818 Stewart Street,98101.0,2285050000,7,DOWNTOWN,47.61567,-122.33503,2008,1.0,14,362046,0,362046,"Office, Other, Parking",Office,232443.0,Parking,97874.0,Other,3534.0,86.0,207.8000031,15725581.0,0.0,15566951.0,158627.0,False,Compliant,116.95
NonResidential,Other,Marketplace at Queen Anne,600 1st Ave N,98109.0,5161000000,7,MAGNOLIA / QUEEN ANNE,47.62476,-122.35521,1994,3.0,2,81336,0,81336,Lifestyle Center,Lifestyle Center,81385.0,None,0.0,None,0.0,89.0,405.2999878,13085297.0,0.0,9206777.0,3878519.0,False,Compliant,270.17
NonResidential,Large Office,One Convention Place,701 Pike Street,98101.0,5342900000,7,DOWNTOWN,47.6115,-122.33278,2001,1.0,23,538933,0,538933,"Office, Parking",Office,366554.0,Parking,122821.0,None,0.0,90.0,137.1999969,16020642.0,0.0,16020640.0,0.0,False,Compliant,111.69
